Cổ phiếu,Mô hình,Test R²,Test RMSE,Test MAPE%,Nhận xét
SAM,Ridge Regression,0.9872,458.0846,2.29,Hiệu suất tốt với MAPE thấp và R² cao.
SAM,Ridge Regression,0.9872,458.0846,2.29,Hiệu suất tốt với MAPE thấp và R² cao.
SAM,Ridge Regression,0.9872,458.0846,2.29,Hiệu suất tốt với MAPE thấp và R² cao.
SAM,Ridge Regression,0.9872,458.0846,2.29,Hiệu suất tốt với MAPE thấp và R² cao.
VGC,Ridge Regression,0.9903,1260.8608,2.51,Hiệu suất tốt với MAPE thấp và R² cao.
VGC,LSTM Model,0.9832,1657.5467,3.65,Hiệu suất tốt với MAPE thấp và R² cao.
VGC,"ARIMA Model (order=(5, 1, 0))",0.9929,1082.633,2.06,Hiệu suất tốt với MAPE thấp và R² cao.
VGC,Ridge Regression,0.9903,1260.8608,2.51,Hiệu suất tốt với MAPE thấp và R² cao.
VGC,Ridge Regression,0.9903,1260.8608,2.51,Hiệu suất tốt với MAPE thấp và R² cao.
VGC,Ridge Regression,0.9903,1260.8608,2.51,Hiệu suất tốt với MAPE thấp và R² cao.
VGC,Ridge Regression,0.9903,1260.8608,2.51,Hiệu suất tốt với MAPE thấp và R² cao.
VGC,Ridge Regression,0.9903,1260.8608,2.51,Hiệu suất tốt với MAPE thấp và R² cao.
VGI,Ridge Regression,0.9653,1120.3524,2.8,Hiệu suất tốt với MAPE thấp và R² cao.
VGI,LSTM Model,0.9293,1559.7915,3.89,Hiệu suất tốt với MAPE thấp và R² cao.
VGI,"ARIMA Model (order=(5, 1, 0))",0.9729,993.0375,2.26,Hiệu suất tốt với MAPE thấp và R² cao.
VGI,Ridge Regression,0.9653,1120.3524,2.8,Hiệu suất tốt với MAPE thấp và R² cao.
VGI,Ridge Regression,0.9653,1120.3524,2.8,Hiệu suất tốt với MAPE thấp và R² cao.
VGI,Ridge Regression,0.9653,1120.3524,2.8,Hiệu suất tốt với MAPE thấp và R² cao.
VGI,Ridge Regression,0.9653,1120.3524,2.8,Hiệu suất tốt với MAPE thấp và R² cao.
VGI,Ridge Regression,0.9653,1120.3524,2.8,Hiệu suất tốt với MAPE thấp và R² cao.
VTL,Ridge Regression,0.9888,649.8397,1.77,Hiệu suất tốt với MAPE thấp và R² cao.
VTL,LSTM Model,0.9735,983.7241,3.43,Hiệu suất tốt với MAPE thấp và R² cao.
VTL,"ARIMA Model (order=(5, 1, 0))",0.9701,1063.2162,1.62,Hiệu suất tốt với MAPE thấp và R² cao.
VTL,Ridge Regression,0.9888,649.8397,1.77,Hiệu suất tốt với MAPE thấp và R² cao.
VTL,Ridge Regression,0.9888,649.8397,1.77,Hiệu suất tốt với MAPE thấp và R² cao.
VTL,Ridge Regression,0.9888,649.8397,1.77,Hiệu suất tốt với MAPE thấp và R² cao.
VTL,Ridge Regression,0.9888,649.8397,1.77,Hiệu suất tốt với MAPE thấp và R² cao.
VTL,Ridge Regression,0.9888,649.8397,1.77,Hiệu suất tốt với MAPE thấp và R² cao.
VTP,Ridge Regression,0.9885,1354.9826,1.89,Hiệu suất tốt với MAPE thấp và R² cao.
VTP,LSTM Model,0.9659,2340.7989,3.47,Hiệu suất tốt với MAPE thấp và R² cao.
VTP,"ARIMA Model (order=(5, 1, 0))",0.9832,1639.3083,1.56,Hiệu suất tốt với MAPE thấp và R² cao.
VTP,Ridge Regression,0.9885,1354.9826,1.89,Hiệu suất tốt với MAPE thấp và R² cao.
VTP,Ridge Regression,0.9885,1354.9826,1.89,Hiệu suất tốt với MAPE thấp và R² cao.
VTP,Ridge Regression,0.9885,1354.9826,1.89,Hiệu suất tốt với MAPE thấp và R² cao.
VTP,Ridge Regression,0.9885,1354.9826,1.89,Hiệu suất tốt với MAPE thấp và R² cao.
VTP,Ridge Regression,0.9885,1354.9826,1.89,Hiệu suất tốt với MAPE thấp và R² cao.
